,mean_pitch,std_pitch,jitter,shimmer,hnr,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,tempo,spectral_flux,zero_crossing_rate,dynamic_range,onset_rate,key,mode,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,label
0,1760.7058,1112.7384,6.348226,0.007425385,-0.0643240523171228,4098.879391875057,4176.385006160235,19.984377900496103,0.0026134083,125.0,1.070485,0.0940339821384867,0.24958578,3.3625177999288,3,1,-116.57488,79.54795,117.98005,30.011732,-34.31252,23.758232,38.66002,22.648136,-9.037147,15.210412,27.097052,13.584236,-10.917222,12.763898,17.69735,13.253551,-6.6275954,9.125078,7.197962,10.745627,-6.702302,9.061742,8.423219,9.316596,-8.203439,8.495068,1
1,1603.7865,1043.7954,5.1788435,0.009219562,0.1853649125541621,2666.963096357573,2946.102068253696,20.992506814747266,0.00031337203,140.625,0.9983226,0.0585804565899723,0.28496638,3.945655711031565,4,1,-151.54721,66.28616,155.77127,28.571775,-48.735977,22.345697,40.0056,21.07492,-1.7697291,16.088457,25.780111,14.953334,-8.074575,9.194675,5.581009,10.012312,1.8230339,9.122658,4.7585254,9.708958,0.08087549,8.58147,1.8750488,8.820089,2.2249067,8.528702,1
2,768.66754,666.725,3.0675879,0.0069789793,0.1414281046059315,1904.777590016763,3209.4904008350222,24.54590327880049,0.00047111727,137.19512195,0.87050205,0.0305029090715329,0.35426345,3.289473684210526,7,1,-225.84889,83.71272,169.12926,32.701946,27.310577,26.858383,26.310282,20.436646,5.1743817,22.9329,25.770857,11.492729,-9.571684,21.173088,10.795434,10.876074,-0.8082222,9.720315,-6.300893,9.070423,-7.6330028,10.297487,5.174932,14.377992,-13.145422,9.550476,1
3,1167.0404,913.70776,5.1508346,0.0071321134,0.3251931552582837,2865.9142388139294,3439.069766952736,21.56682223455725,0.0006036021,137.19512195,1.0538253,0.0548979437482567,0.4184255,4.314853556485356,4,1,-186.70735,88.048744,140.20314,29.194786,-10.394128,27.341486,29.688162,19.029505,-11.537158,18.875828,15.063605,17.735764,-3.3057458,14.530775,10.492392,12.807263,4.641881,10.507948,4.964306,10.762316,-0.8292693,9.419178,5.524554,9.334008,-0.65770173,8.405323,1
4,909.1338,721.98145,4.827022,0.004719371,2.638035288606316,1765.0826389803872,2337.045440462763,21.821112683703085,0.0009225376,140.625,0.8777962,0.0393546606605341,0.35875916,3.4954672245467227,2,1,-302.8405,85.32992,157.24348,46.654205,9.709995,30.048815,12.318471,22.020163,7.2752733,18.538692,4.9655075,14.524402,-5.395472,11.90935,-4.872506,12.659271,1.8870416,10.210311,-4.47624,9.499099,-11.963686,12.031077,0.99366003,8.788138,-3.1049764,9.343242,1
5,1818.8519,1113.2374,6.733244,0.008512795,0.3667712696623304,3185.0002789886576,3400.75708447336,18.60449173185448,0.00088310335,90.72580645,1.1139574,0.0707882530854173,0.23625316,7.4317738791423,3,1,-99.75556,40.083805,146.65375,29.43379,-55.87645,15.789558,50.180843,11.388705,1.283899,16.186422,23.419153,15.940674,-4.682693,12.573173,17.388206,7.4586506,-6.4522038,7.5787544,9.852023,7.4393044,-0.7287946,7.502766,4.9443126,7.8949986,0.07180399,7.8626847,1
6,1601.23,1052.7236,5.9719424,0.012779082,-0.4788152480174112,3195.8177488673355,3436.3481876649025,19.966029009993644,0.0009517999,119.68085106,1.1113782,0.067180149667383,0.40999132,4.171315133219583,9,1,-151.96101,60.230087,133.93724,36.01524,-40.06075,22.096838,37.407623,18.963333,-2.4271815,19.693726,23.220184,14.163706,-0.9683669,12.104502,12.418007,10.139202,1.4937686,9.26897,7.834848,8.940932,4.906085,9.908473,6.4752283,7.9047346,2.8311653,7.5633216,1
7,1143.0706,932.61865,5.7790937,0.007782352,-0.0645211735753454,3120.7638787135143,3618.706396880236,21.096695550130608,0.0036708694,86.53846154,1.2661703,0.060407217213388,0.32692233,4.748910723812911,9,1,-226.48785,94.46686,129.18643,40.65004,-4.8698874,24.183126,37.056374,21.080374,-6.872044,19.623886,14.803799,20.263697,0.108785115,12.575326,8.654607,13.82581,-4.2451997,12.633014,1.5303587,11.320487,3.069883,10.60395,0.37813956,11.243605,-5.428773,9.859243,1
8,1140.4817,934.9402,5.391078,0.009429562,0.0162788101899528,2788.944277983092,3571.7346728541534,20.6228990602785,0.00086960575,114.79591837,1.1668749,0.0461538297071702,0.30422556,4.567412962557477,9,1,-181.31216,82.667656,142.36737,36.52386,-17.785433,23.017593,45.50298,18.279762,3.7321472,16.012287,24.311829,14.73775,3.0420094,12.525798,14.556829,10.089733,0.5872058,10.551687,6.5150695,9.1893425,2.2256079,9.0801,2.6386645,7.7536793,0.636428,8.159355,1
9,1670.2795,1112.6947,5.9880056,0.008539327,0.0017161371713594,2927.07766580575,3219.343019373693,20.28199117364901,0.00073010393,137.19512195,1.103042,0.066874645233465,0.3019686,4.139173998044966,9,1,-148.68866,79.95269,152.10367,35.61874,-39.817284,25.368689,41.506157,16.125181,2.941367,21.33597,19.189528,15.61454,-13.022373,14.522439,10.1032505,9.948488,-2.3807774,10.524738,5.349877,7.6402397,-2.143386,10.054747,4.868515,7.9633822,-0.31189802,8.632627,1
