mean_pitch,std_pitch,jitter,shimmer,hnr,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,tempo,spectral_flux,zero_crossing_rate,dynamic_range,onset_rate,key,mode,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,label
1380.8927001953125,1046.8017578125,4.423713684082031,0.014103282,-0.84108233,2936.1420781535567,3692.006595651627,21.298016220190725,0.012420357,[123.046875],1.154377,0.0568381880435989,0.47561717,4.077889451989829,2,1,-128.01819,100.79517,129.66928,42.479225,-15.495015,28.385956,31.05973,19.107431,9.279335,15.013,19.129292,14.3790245,3.310923,10.472878,11.631854,13.529646,-0.10115283,10.162693,4.623371,9.55086,0.4235643,9.702659,5.180859,9.254155,-1.6368115,9.162163,0
679.9667358398438,430.3658447265625,2.4536759853363037,0.003325067,0.033279784,785.8512433744129,1031.493588651863,23.43279511080701,0.008296657,[63.80208333],0.43991283,0.026008791704238053,0.23585914,1.7669445451250454,0,1,-369.1242,46.940536,204.26436,39.809597,49.133114,17.61004,-18.244,12.303445,-3.598036,10.528453,5.7318077,8.377901,-7.7086635,8.115193,-14.571433,7.0882783,-11.941313,6.5242815,-11.178336,6.9459424,-11.144651,6.939822,-9.149628,7.4233403,-8.0750265,7.1039424,0
1685.8095703125,1132.841796875,5.722774028778076,0.027174193,-0.056344897,3796.270679112718,3895.654281719357,20.864285720147656,0.0023495532,[126.04801829],1.1974641,0.08191835454141842,0.5543136,6.598973639194702,2,1,-42.352535,81.18692,112.08707,24.570564,-32.404716,12.311077,51.25045,15.357181,-6.534048,15.238836,32.2668,11.5777025,-19.258577,10.072112,21.744291,9.511048,4.314621,8.12403,12.370296,6.9528275,-5.035025,7.5058956,6.3648615,8.044791,-3.0251489,6.055398,0
607.9393920898438,428.2538757324219,2.4585981369018555,0.0055489456,0.021224564,775.2010256929728,1226.5737571110633,24.125458684713116,0.00042454503,[126.04801829],0.45854554,0.02222135348530438,0.33779246,2.419243550677157,11,1,-369.45468,57.871994,184.78467,50.870796,63.294456,25.212992,-3.7166533,21.073011,-4.1657834,11.236016,9.740344,8.804704,10.998384,10.951581,4.9648433,10.256006,-0.941937,8.45284,-4.4752817,7.546824,-4.700355,7.6401,-3.2662952,7.9908304,-4.048035,7.9674106,0
685.0274658203125,509.8583679199219,4.4332475662231445,0.012201906,-3.2997549,938.0210375712669,1589.327768106462,21.95569934125377,2.4025232e-05,[132.51201923],0.82265574,0.025929538625701295,0.5365497,2.416247065182747,11,1,-240.2328,74.85784,183.65886,25.446678,44.77313,33.205605,23.644848,15.4675255,0.63416827,17.883848,6.284912,12.3283,1.2623497,10.310047,3.679646,8.810691,6.1014047,9.740045,3.9898365,8.395283,-2.4003255,8.92313,-1.1192892,8.443583,-3.0393114,10.435085,0
1595.8873291015625,1126.048095703125,3.9705631732940674,0.010946957,1.6625149,3129.7454631075534,3512.581619288665,22.622821540093177,0.0022329676,[109.95678191],1.2501029,0.07995138704488193,0.37231296,5.076595744680851,10,1,-143.07526,88.932816,120.99953,35.71108,-36.123417,20.203928,39.45963,14.788595,5.913828,12.991445,22.613892,13.783513,-8.508915,9.848028,13.114962,10.385783,-1.9266516,12.648393,6.9129233,13.905269,1.00934,12.772105,0.72591186,9.812698,-1.8000458,9.691013,0
381.6502685546875,278.9676818847656,2.4129481315612793,0.0062103495,-1.0071614,498.92513241186487,1186.2922219426991,25.307315304471405,0.00013525685,[147.65625],0.5525756,0.00651800118146706,0.5429816,10.115492783602273,1,1,-296.24728,36.806496,181.49841,25.644087,58.19845,13.699953,14.784301,12.493247,23.415382,10.17144,23.325178,9.983191,7.6766887,10.177336,3.892656,8.846467,1.4449788,9.35157,3.7261372,10.884874,4.76496,9.410898,7.828842,8.528281,7.4965696,7.585162,0
758.399658203125,455.63531494140625,2.933311939239502,0.0035479884,0.43530768,793.1339645354234,772.4548640456667,23.205152754029374,0.0018513722,[123.046875],0.56548375,0.029401372465351704,0.34771317,2.9905279317218447,4,1,-325.61972,54.97581,197.52037,35.9613,37.46642,29.031631,-16.912212,19.514078,-10.235562,13.617218,-8.993537,10.8883705,-10.77313,10.222504,-7.254915,9.970051,-2.7395465,9.990167,-3.484624,8.7053385,-7.3800583,8.113506,-5.607777,8.852593,1.4057225,9.24632,0
755.6047973632812,756.9807739257812,3.3058829307556152,0.0072081867,-0.8940483,853.4286803162615,1500.4722371562698,23.214279149208625,0.0015501615,[103.359375],0.78974676,0.015664635263929617,0.4490445,3.970794738599026,11,1,-310.67755,58.84625,166.63693,33.266167,23.255621,24.943676,16.83928,13.71285,26.213129,10.404436,18.532867,8.306418,14.936159,8.216399,14.202829,7.74012,13.170361,7.380795,4.0143976,8.223464,-1.6428924,7.475098,-2.026955,7.918798,-2.4561744,7.5277386,0
2011.292724609375,1204.64013671875,5.576490879058838,0.011225493,0.107053764,4376.372075868393,4023.2509413254593,21.868492474540137,0.0018224121,[140.625],1.0466721,0.11014141757246376,0.5532994,3.039864021338831,11,1,-24.635202,53.475216,106.904854,25.367125,-51.90968,17.157978,62.599194,11.437065,1.1582639,14.100555,31.798996,11.988241,-19.840034,8.552055,20.800344,9.51364,-8.357312,8.092909,13.28589,7.4436445,-6.9310217,7.4586034,4.9360943,7.472945,-0.63634676,7.500904,0
940.8654174804688,936.2067260742188,4.816670894622803,0.0049087405,2.0523655,1204.1809356844822,1732.925433739515,20.886630496125903,0.0077862362,[90.66611842],0.91838306,0.030309086521861955,0.2628961,2.0115139839286837,9,1,-312.26154,81.74133,167.8611,35.03066,18.58534,37.154827,32.952538,18.457308,15.542797,14.173386,11.315378,13.803908,7.742417,12.375641,7.5441084,11.057239,5.053655,9.818743,4.111239,10.631804,4.745657,8.923186,1.7811047,7.991416,0.9230101,8.05118,0
677.5869750976562,448.87054443359375,2.783379316329956,0.0018930929,0.6469353,597.8791797014718,822.5494522871868,21.680519462823387,0.018204419,[123.046875],0.47347027,0.019958074690357343,0.21043879,1.8886626660951564,2,1,-414.52875,52.912247,189.56517,43.69498,54.676632,18.89498,-9.267302,14.427105,1.1991382,10.779955,14.050531,9.987281,5.396813,9.948998,-3.1727636,9.138878,-3.4682262,7.6507573,-4.119101,8.052957,-6.8243,7.5622435,-6.6924667,7.9284415,-2.731401,8.87386,0
765.6236572265625,586.5587158203125,3.2414801120758057,0.0050385892,0.077793255,866.8300648533356,1234.4549651426607,22.9493645721074,0.00039896468,[109.95678191],0.74191236,0.02641232767287603,0.35129854,3.670981960273056,11,1,-277.8326,47.29846,216.92003,25.611494,12.471837,19.176252,-2.5800242,10.856068,19.555878,8.7016325,-4.178248,10.416468,-17.913408,9.390966,-6.052962,8.424276,-0.65076566,7.6996155,-1.3946365,8.600024,-2.1176467,7.3266506,0.019923901,8.162578,2.4487321,7.300503,0
897.337646484375,851.4163818359375,2.979264259338379,0.011270876,-0.8599459,2161.4682928795405,2902.7276397661913,22.219878870483097,0.0012471847,[161.49902344],1.0942265,0.040984400691911234,0.28649795,2.4184647431911452,6,1,-268.99887,97.9859,145.01352,49.24935,19.705183,30.131607,37.16231,22.15601,12.438414,16.77742,15.205735,14.070192,8.7469845,10.0011425,6.509677,10.225463,1.3744304,9.588817,8.11421,10.10573,0.91344386,8.7457695,5.377807,9.7728405,2.3937404,8.706051,0
